HDR,ROLLING SYSTEM DEMAND
VD,20201016170500,38455
VD,20201016171000,38562
VD,20201016171500,38732
VD,20201016172000,38862
VD,20201016172500,39076
VD,20201016173000,39244
VD,20201016173500,39245
VD,20201016174000,39201
VD,20201016174500,39162
VD,20201016175000,39047
VD,20201016175500,38850
VD,20201016180000,38623
VD,20201016180500,38408
VD,20201016181000,38279
VD,20201016181500,38099
VD,20201016182000,38089
VD,20201016182500,37884
VD,20201016183000,37618
VD,20201016183500,37669
VD,20201016184000,37701
VD,20201016184500,37482
VD,20201016185000,37279
VD,20201016185500,37118
VD,20201016190000,36866
VD,20201016190500,36626
VD,20201016191000,36407
VD,20201016191500,36173
VD,20201016192000,35870
VD,20201016192500,35590
VD,20201016193000,35367
VD,20201016193500,35215
VD,20201016194000,34984
VD,20201016194500,34644
VD,20201016195000,34370
VD,20201016195500,34312
VD,20201016200000,33940
VD,20201016200500,33612
VD,20201016201000,33336
VD,20201016201500,33051
VD,20201016202000,32704
VD,20201016202500,32487
VD,20201016203000,32321
VD,20201016203500,32030
VD,20201016204000,31703
VD,20201016204500,31347
VD,20201016205000,31043
VD,20201016205500,30660
VD,20201016210000,30342
VD,20201016210500,30139
VD,20201016211000,29942
VD,20201016211500,29512
VD,20201016212000,29177
VD,20201016212500,28944
VD,20201016213000,28681
VD,20201016213500,28401
VD,20201016214000,28080
VD,20201016214500,27710
VD,20201016215000,27567
VD,20201016215500,27353
VD,20201016220000,27082
VD,20201016220500,26803
VD,20201016221000,26501
VD,20201016221500,26377
VD,20201016222000,26092
VD,20201016222500,25755
VD,20201016223000,25438
VD,20201016223500,25208
VD,20201016224000,24929
VD,20201016224500,24796
VD,20201016225000,24609
VD,20201016225500,24476
VD,20201016230000,24298
VD,20201016230500,24022
VD,20201016231000,23986
VD,20201016231500,23813
VD,20201016232000,23621
VD,20201016232500,23465
VD,20201016233000,23265
VD,20201016233500,23227
VD,20201016234000,23198
VD,20201016234500,23246
VD,20201016235000,23136
VD,20201016235500,22949
VD,20201017000000,22877
VD,20201017000500,23048
VD,20201017001000,23018
VD,20201017001500,23019
VD,20201017002000,22962
VD,20201017002500,22927
VD,20201017003000,22955
VD,20201017003500,23125
VD,20201017004000,23225
VD,20201017004500,23300
VD,20201017005000,23328
VD,20201017005500,23304
VD,20201017010000,23215
VD,20201017010500,23233
VD,20201017011000,23174
VD,20201017011500,23084
VD,20201017012000,23020
